url,snippet
https://discord.com/safety-news," … From Safety and Policy to Engineering, Data, and Product teams, about 15 percent of all Discord employees are … "
https://discord.com/safety-news, … Law enforcement submitting a request for user data relating to a Cybertip should provide the Cybertip number. European … 
https://substack.com/privacy, … The Children\u2019s Online Privacy Protection Act (\u201CCOPPA\u201D) requires that online service providers obtain parental consent before … 
https://substack.com/tos, … The Children’s Online Privacy Protection Act (“COPPA”) requires that online service providers obtain parental consent before they … 
https://substack.com/tos, … The Children\u2019s Online Privacy Protection Act (\u201CCOPPA\u201D) requires that online service providers obtain parental consent before … 
https://vimeo.com/features/video-privacy," … marketing\"",\""children\"":[\""$\"",\""$L1c\"",null,{\""jobs\"":{\""jobs\"":[{\""absolute_url\"":\""https://job-boards.greenhouse.io/vimeo/jobs/7117179\"",\""data_compliance … "
https://vimeo.com/features/video-privacy," … https://job-boards.greenhouse.io/vimeo/jobs/7181124\"",\""data_compliance\"":[{\""type\"":\""gdpr\"",\""requires_consent\"":false,\""requires_processing_consent … "
https://vimeo.com/features/video-privacy," … 5:1:props:children:props:children:1:props:children:props:children:props:page:0:data:localization\"",\""namespaces\"":[],\""url … "
https://vimeo.com/features/video-privacy," self.__next_f.push([1,""12:{\""metadata\"":[[\""$\"",\""title\"",\""0\"",{\""children\"":\""Private \u0026 Secure Video Uploading, Hosting, \u0026 Sharing … "
https://vimeo.com/features/video-transcription," … marketing\"",\""children\"":[\""$\"",\""$L1c\"",null,{\""jobs\"":{\""jobs\"":[{\""absolute_url\"":\""https://job-boards.greenhouse.io/vimeo/jobs/7117179\"",\""data_compliance … "
https://vimeo.com/features/video-transcription," … https://job-boards.greenhouse.io/vimeo/jobs/7181124\"",\""data_compliance\"":[{\""type\"":\""gdpr\"",\""requires_consent\"":false,\""requires_processing_consent … "
https://vimeo.com/features/video-transcription," … 5:1:props:children:props:children:1:props:children:props:children:props:page:0:data:localization\"",\""namespaces\"":[],\""url … "
https://vimeo.com/help/guidelines," … data-[state=open]:ring-tint-hover w-full grow py-1\"",\""children\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""children … "
https://vimeo.com/help/guidelines," … fallback\"":null,\""children\"":[\""$\"",\""$L29\"",null,{\""privacyPolicy\"":\""https://vimeo.com/legal/privacy\""}]}],[\""$\"",\""script\"",null,{\""suppressHydrationWarning\"":true,\""data-cfasync\"":\""false … "
https://vimeo.com/help/guidelines," … children\"":[\""$L33\"",\""$L34\"",\""$L35\"",\""$L36\""]}]}]]}]\n2a:null\n""]) self.__next_f.push([1,""27:[[\""$\"",\""aside\"",null,{\""data-testid … "
https://vimeo.com/help/guidelines,"er\""}},\""children\"":[\""Contact us\"",null]}]\n2f:[\""$\"",\""$L2b\"",\""Pricing\"",{\""href\"":\""https://vimeo.com/upgrade\"",\""className\"":\""flex items-center shrink … "
https://vimeo.com/terms," … data-[state=open]:ring-tint-hover w-full grow py-1\"",\""children\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""children … "
https://vimeo.com/terms," … fallback\"":null,\""children\"":[\""$\"",\""$L29\"",null,{\""privacyPolicy\"":\""https://vimeo.com/legal/privacy\""}]}],[\""$\"",\""script\"",null,{\""suppressHydrationWarning\"":true,\""data-cfasync\"":\""false … "
https://vimeo.com/terms," … children\"":[\""$L33\"",\""$L34\"",\""$L35\"",\""$L36\""]}]}]]}]\n2a:null\n""]) self.__next_f.push([1,""27:[[\""$\"",\""aside\"",null,{\""data-testid … "
https://vimeo.com/terms," … corners_\u0026]:rounded-3xl\"",\""children\"":[[\""$\"",\""div\"",null,{\""className\"":\""px-5 *:my-4\"",\""children\"":[false,false,false]}],[\""$\"",\""$L37\"",null … "
https://vimeo.com/terms, … default:data-[state=open]:text-primary links-default:tint:hover:text-tint-strong links-default:tint:data-[state … 
https://vimeo.com/terms," … self-start leading-snug\"",\""children\"":[[\""$\"",\""$3\"",\""P1ws1EUgLoO1\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""11."
https://vimeo.com/terms," … 3\"",\""BYLCQRDrN1NX\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""; (c) an alleged data breach or unauthorized disclosure of data or content … "
https://vimeo.com/privacy, … 2. Children&#x27;s Privacy 3. Data We Collect About You 4. How We Use Your Data 5 … 
https://vimeo.com/privacy, … Exploited Children (NCMEC) along with the data identifying the uploading user. We may disclose user data in situations … 
https://vimeo.com/privacy," … data-[state=open]:ring-tint-hover w-full grow py-1\"",\""children\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""children … "
https://vimeo.com/privacy," … fallback\"":null,\""children\"":[\""$\"",\""$L29\"",null,{\""privacyPolicy\"":\""https://vimeo.com/legal/privacy\""}]}],[\""$\"",\""script\"",null,{\""suppressHydrationWarning\"":true,\""data-cfasync\"":\""false … "
https://vimeo.com/privacy," … children\"":[\""$L33\"",\""$L34\"",\""$L35\"",\""$L36\""]}]}]]}]\n2a:null\n""]) self.__next_f.push([1,""27:[[\""$\"",\""aside\"",null,{\""data-testid … "
